title,TMDB_ID,bechdel_pass,budget,revenue,primary_genre,popularity,year,language,runtime,TMDB_rating,votes,spoken_language,logbudget,logrevenue
Black Widow,497698,pass,200000000,378328978,Action,576.472,2021,English Language,134,7.6,6094,en,19.11382792451231,19.751274687251133
The Conjuring: The Devil Made Me Do It,423108,fail,39000000,199166992,Horror,294.858,2021,English Language,111,7.7,3921,en,17.47907220409392,19.109654186573298
Cousins,31674,pass,13000000,22030000,Comedy,5.69,1989,English Language,109,6.1,40,en,16.38045991542581,16.907915718778526
Cruella,337404,pass,200000000,233274812,Comedy,595.89,2021,English Language,134,8.2,6033,en,19.11382792451231,19.26772776716827
Dune,438631,pass,165000000,368077000,SciFi,1364.381,2021,English Language,155,8,4340,en,18.921456031864853,19.723802713376188
Escape Room: Tournament of Champions,585216,pass,15000000,44888959,Horror,140.904,2021,English Language,88,6.9,751,en,16.523560759066484,17.619702420469174
Free Guy,550988,fail,110000000,331096766,Comedy,1591.061,2021,English Language,115,7.8,3865,en,18.51599092375669,19.61792123502791
The Green Knight,559907,fail,15000000,18192220,Fantasy,120.346,2021,English Language,130,6.7,594,en,16.523560759066484,16.716504588127123
Gunpowder Milkshake,574060,pass,30000000,344931,Action,714.932,2021,English Language,114,6.5,389,en,17.216707939626428,12.75109967601083
In the Heights,467909,pass,55000000,43000000,Drama,28.941,2021,English Language,143,7.3,371,en,17.822843743196746,17.576710673657836
Jungle Cruise,451048,pass,200000000,217000000,Adventure,737.379,2021,English Language,127,7.7,3399,en,19.11382792451231,19.195407911504734
The Last Duel,617653,pass,100000000,27000000,Action,94.261,2021,English Language,153,7.7,432,en,18.420680743952367,17.111347423968603
The Little Things,602269,pass,30000000,23205000,Thriller,97.443,2021,English Language,128,6.4,1331,en,17.216707939626428,16.959878330657414
Luca,508943,fail,200000000,49010641,Animation,749.048,2021,English Language,95,8,5174,en,19.11382792451231,17.70754799576368
Malignant,619778,pass,40000000,24640084,Horror,232.334,2021,English Language,111,7,1056,en,17.50439001207821,17.019885105714692
The Marksman,634528,fail,23000000,22039969,Action,269.911,2021,English Language,108,7.1,982,en,16.951004773893423,16.908368135714422
Mortal Kombat,460465,fail,20000000,83601013,Action,499.203,2021,English Language,110,7.3,4077,en,16.811242831518264,18.2415661952064
Nobody,615457,fail,17000000,61779301,Action,225.36,2021,English Language,92,8.3,3691,en,16.64872390202049,17.93907893104949
Old,631843,pass,18000000,90112510,Thriller,372.309,2021,English Language,108,6.6,1745,en,16.70588231586044,18.31656955866736
Raya and the Last Dragon,527774,pass,100000000,130000000,Family,374.854,2021,English Language,107,8.1,4584,en,18.420680743952367,18.683045008419857
Reminiscence,579047,fail,68000000,18717947,SciFi,67.867,2021,English Language,116,7,890,en,18.03501826314038,16.74499335419624
Space Jam: A New Legacy,379686,pass,161900000,148810604,Animation,592.69,2021,English Language,115,7.3,2626,en,18.902489418647864,18.818184941265006
Spiral: From the Book of Saw,602734,pass,20000000,36544468,Horror,149.885,2021,English Language,93,6.3,967,en,16.811242831518264,17.414040378395676
The Suicide Squad,436969,pass,180000000,167381210,Action,632.843,2021,English Language,132,7.8,4860,en,19.008467408854486,18.9357844636025
Those Who Wish Me Dead,578701,fail,20000000,23384502,Thriller,128.854,2021,English Language,100,6.9,941,en,16.811242831518264,16.967584053212995
Titane,630240,fail,6600000,5115725,Drama,89.124,2021,Foreign Language,108,6.7,361,fr,15.702580206996654,15.447829687304152
Willy's Wonderland,643586,pass,5000000,431020,Action,123.786,2021,English Language,88,6.5,396,en,15.424948470398375,12.973909771721562
Zack Snyder's Justice League,791373,pass,70000000,657000000,Action,362.179,2021,English Language,242,8.4,6888,en,18.064005800013632,20.303194576448885
18 Presents,630220,pass,2500000,3486375,Drama,10.529,2020,Foreign Language,114,7.5,549,it,14.73180128983843,15.06437307242627
A Quiet Place Part II,520763,pass,61000000,297372261,SciFi,256.917,2021,English Language,97,7.7,3369,en,17.926384422137584,19.51049531595229
The Call,158011,pass,13000000,68572378,Crime,43.963,2013,English Language,94,6.8,2392,en,16.38045991542581,18.04340035854838
The Croods: A New Age,529203,pass,65000000,168285000,Animation,491.084,2020,English Language,95,7.6,2661,en,17.98989782785991,18.941169528629313
Fantasy Island,539537,pass,7000000,47078545,Horror,24.822,2020,English Language,109,6,1697,en,15.761420707019587,17.667327935035964
Freaky,551804,pass,5000000,15104310,Horror,35.429,2020,English Language,102,6.7,871,en,15.424948470398375,16.530490691521205
Honey Boy,512263,fail,3500000,3400977,Drama,13.928,2019,English Language,94,7.2,435,en,15.068273526459642,15.039573301249618
The Hunt,514847,pass,14000000,8621288,Action,43.667,2020,English Language,90,6.7,2062,en,16.454567887579532,15.969745051431422
The Invisible Man,570670,pass,7000000,130234661,Thriller,29.514,2020,English Language,124,7.2,4178,en,15.761420707019587,18.684848465827876
Jiu Jitsu,590706,fail,23000000,99924,Fantasy,193.198,2020,English Language,102,5.1,448,en,16.951004773893423,11.512165176023819
Like a Boss,526019,pass,29000000,26925979,Comedy,21.02,2020,English Language,83,6.4,525,en,17.182806387950748,17.10860214060569
Love and Monsters,590223,fail,30000000,1070714,Comedy,47.481,2020,English Language,109,7.4,2702,en,17.216707939626428,13.883836273618924
Mank,614560,fail,25000000,122252,Drama,15.525,2020,English Language,132,6.9,1096,en,17.034386382832476,11.713839767121497
Minari,615643,pass,2000000,12886100,Drama,21.864,2021,English Language,115,7.4,902,en,14.508657738524219,16.371659769010694
Monster Hunter,458576,pass,60000000,25814306,Action,283.55,2020,English Language,104,6.9,2269,en,17.909855120186375,17.066439392339706
Mulan,337401,pass,200000000,66800000,Adventure,200.764,2020,English Language,115,7,5280,en,19.11382792451231,18.017213638506874
The New Mutants,340102,pass,67000000,45534613,Horror,90.662,2020,English Language,94,6.3,2411,en,18.02020317735524,17.633983319991092
Nomadland,581734,pass,5000000,14784114,Drama,34.113,2021,English Language,108,7.3,1811,en,15.424948470398375,16.509063783872833
Onward,508439,pass,200000000,141592359,Family,68.262,2020,English Language,103,7.8,4676,en,19.11382792451231,18.768462775903494
Sonic the Hedgehog,454626,pass,85000000,306766470,Action,153.107,2020,English Language,99,7.4,7268,en,18.258161814454592,19.541597332045477
Soul,508442,pass,150000000,136384442,Animation,281.708,2020,English Language,101,8.2,7254,en,18.82614585206053,18.730988235284542
Tenet,577922,fail,205000000,363129000,Action,119.712,2020,English Language,150,7.3,6356,en,19.138520537102682,19.710268701000313
The Trial of the Chicago 7,556984,fail,35000000,107423,Drama,17.527,2020,English Language,130,7.8,2101,en,17.37085861945369,11.584529590829671
The Turning,492611,pass,14000000,18472775,Horror,17.385,2020,English Language,94,5.9,730,en,16.454567887579532,16.73180858452831
Underwater,443791,pass,50000000,40882928,Action,39.904,2020,English Language,95,6.3,2263,en,17.72753356339242,17.52622312556097
Unhinged,625568,pass,33000000,39238300,Action,23.99,2020,English Language,90,6.5,1373,en,17.312018119430753,17.48516386858331
Wolfwalkers,441130,pass,12000000,229041,Animation,29.164,2020,English Language,103,8.5,631,en,16.300417207752275,12.341656305812064
Wonder Woman 1984,464052,pass,200000000,165160005,Action,289.639,2020,English Language,151,6.6,6173,en,19.11382792451231,18.922425289255838
1917,530915,fail,100000000,374733942,War,44.381,2019,English Language,119,8,8943,en,18.420680743952367,19.741726844128966
A Beautiful Day in the Neighborhood,501907,fail,4000000,67760877,Drama,17.304,2019,English Language,109,7,1078,en,15.201804919084164,18.031495550963395
Abominable,431580,pass,75000000,179057149,Family,48.744,2019,English Language,97,7.6,1536,en,18.132998671500584,19.00321558100622
Ad Astra,419704,fail,87500000,132807427,SciFi,17.884,2019,English Language,123,6.1,5119,en,18.287149351327844,18.704410719647615
Aladdin,420817,pass,183000000,1047612394,Adventure,84.278,2019,English Language,128,7.1,8197,en,19.024996710805695,20.76977950137932
Alita: Battle Angel,399579,pass,170000000,404852543,Action,69.258,2019,English Language,122,7.2,7069,en,18.951308995014536,19.819033467415437
Angel Has Fallen,423204,fail,40000000,146661977,Action,39.982,2019,English Language,122,6.5,2554,en,17.50439001207821,18.80364102069726
Anna,484641,pass,34000000,31626978,Thriller,34.283,2019,Foreign Language,119,6.7,1912,fr,17.341871082580436,17.26952104851062
Annabelle Comes Home,521029,pass,30000000,231252591,Horror,70.849,2019,English Language,106,6.4,2557,en,17.216707939626428,19.259021138618365
The Art of Racing in the Rain,522924,fail,18000000,33766787,Comedy,22.093,2019,English Language,109,8.4,926,en,16.70588231586044,17.334988244216714
Avengers: Endgame,299534,pass,356000000,2797800564,Adventure,275.046,2019,English Language,181,8.3,19606,en,19.690441288816306,21.752099432593546
The Beach Bum,441384,fail,5000000,4554065,Comedy,12.9,2019,English Language,95,5.6,328,en,15.424948470398375,15.331530798670409
Booksmart,505600,pass,6000000,24849029,Comedy,34.64,2019,English Language,102,7.1,1903,en,15.60727002719233,17.028329235296805
Brightburn,531309,fail,6000000,32893421,Horror,35.635,2019,English Language,91,6.1,2237,en,15.60727002719233,17.30878322613415
Captain Marvel,299537,pass,152000000,1128276090,Action,112.114,2019,English Language,124,6.9,12227,en,18.83939107881055,20.843956720711578
Charlie's Angels,458897,pass,48000000,73279888,Action,37.793,2019,English Language,118,6.6,2274,en,17.686711568872166,18.109796749944703
Cold Pursuit,438650,fail,60000000,76419755,Action,37.596,2019,English Language,119,5.7,1911,en,17.909855120186375,18.151751794010863
Color Out of Space,548473,fail,6000000,1023510,Horror,22.576,2019,English Language,111,6,866,en,15.60727002719233,13.838748454431451
Crawl,511987,pass,13500000,89203432,Thriller,59.352,2019,English Language,88,6.3,2335,en,16.41820024340866,18.306430072146405
The Curse of La Llorona,480414,pass,9000000,122033739,Horror,63.548,2019,English Language,93,5.7,1784,en,16.012735135300492,18.61980811364518
Dark Phoenix,320288,pass,200000000,252442974,SciFi,56.726,2019,English Language,114,6,4903,en,19.11382792451231,19.346695935628187
Doctor Sleep,501170,pass,45000000,72281712,Horror,33.674,2019,English Language,152,7.2,3013,en,17.622173047734595,18.096081709074653
Dora and the Lost City of Gold,499701,pass,49000000,119682635,Adventure,59.024,2019,English Language,102,6.8,1316,en,17.7073308560749,18.600354088993523
Downton Abbey,535544,pass,20000000,192094429,Drama,16.65,2019,English Language,122,7.2,769,en,16.811242831518264,19.0734976267977
The Farewell,565310,pass,250300,22110994,Comedy,15.385,2019,English Language,100,7.5,1021,en,12.430415477419865,16.91158550885611
Five Feet Apart,527641,pass,7000000,91500000,Romance,154.288,2019,English Language,116,8.4,4498,en,15.761420707019587,18.33184953024575
Ford v Ferrari,359724,fail,97600000,225508210,Drama,55.992,2019,English Language,153,8,5239,en,18.396388051383322,19.233867124226514
Gemini Man,453405,fail,138000000,173469516,SciFi,39.152,2019,English Language,117,6.4,4031,en,18.742764243121478,18.9715124416259
The Gentlemen,522627,pass,22000000,114996853,Action,66.519,2019,English Language,113,7.7,3733,en,16.90655301132259,18.5604153207357
Godzilla: King of the Monsters,373571,pass,170000000,386600138,SciFi,81.139,2019,English Language,132,6.7,4508,en,18.951308995014536,19.772901481696536
Good Boys,521777,pass,20000000,111037232,Comedy,30.559,2019,English Language,89,6.9,1373,en,16.811242831518264,18.52537612645817
Happy Death Day 2U,512196,pass,9000000,25327500,Comedy,25.636,2019,English Language,100,6.3,2594,en,16.012735135300492,17.04740131990997
How to Train Your Dragon: The Hidden World,166428,fail,129000000,517526875,Animation,66.596,2019,English Language,104,7.8,4826,en,18.675322962325946,20.064572014122508
How to Train Your Dragon: The Hidden World,166428,pass,129000000,517526875,Animation,66.596,2019,English Language,104,7.8,4826,en,18.675322962325946,20.064572014122508
Hustlers,540901,pass,20000000,157600000,Drama,55.534,2019,English Language,110,6.5,2386,en,16.811242831518264,18.875570735388052
The Irishman,398978,fail,159000000,8000000,Crime,22.637,2019,English Language,209,7.6,5056,en,18.884414760184505,15.89495209964411
Iron Sky: The Coming Race,302349,pass,21000000,400900,Action,15.868,2019,English Language,93,5.1,243,en,16.860032995687696,12.901467298630598
John Wick: Chapter 3 - Parabellum,458156,fail,55000000,326709727,Action,124.263,2019,English Language,130,7.4,7412,en,17.822843743196746,19.60458264962058
Jojo Rabbit,515001,pass,14000000,82468705,Comedy,33.947,2019,English Language,108,8.1,6768,en,16.454567887579532,18.22792944600649
Joker,475557,pass,55000000,1074251311,Crime,122.166,2019,English Language,122,8.2,19143,en,17.822843743196746,20.79488980100495
Jumanji: The Next Level,512200,fail,125000000,800059707,Adventure,114.986,2019,English Language,123,7,6432,en,18.643824295266576,20.500196916597243
Just Mercy,522212,fail,25000000,50401502,Drama,15.914,2019,English Language,137,8,1514,en,17.034386382832476,17.73553153418484
The Kid Who Would Be King,454294,fail,59000000,32140970,Action,20.846,2019,English Language,120,6.1,541,en,17.893048001869992,17.285642098278704
Knives Out,546554,pass,40000000,309232797,Comedy,49.381,2019,English Language,131,7.9,8113,en,17.50439001207821,19.54960493955699
Last Christmas,549053,pass,30000000,121550750,Comedy,33.965,2019,English Language,102,7.3,1668,en,17.216707939626428,18.615842429007657
The Last Full Measure,442065,fail,20000000,3364426,War,11.059,2020,English Language,110,7.6,311,en,16.811242831518264,15.02876792701583
Late Night,523172,pass,4000000,22384741,Comedy,13.184,2019,English Language,102,6.5,600,en,15.201804919084164,16.923890079342332
The Lego Movie 2: The Second Part,280217,pass,100000000,190514361,Action,29.075,2019,English Language,106,6.7,1558,en,18.420680743952367,19.065238135516434
The Lighthouse,503919,fail,11000000,18123239,Drama,24.686,2019,English Language,109,7.5,2965,en,16.213405830762646,16.712705595364117
The Lion King,8587,pass,45000000,763455561,Family,159.887,1994,English Language,89,8.3,14673,en,17.622173047734595,20.453365476606823
Little Women,331482,pass,40000000,216601214,Drama,65.145,2019,English Language,135,7.9,4297,en,17.50439001207821,19.193568497316935
Ma,502416,pass,5000000,51749995,Horror,23.868,2019,English Language,99,5.8,1638,en,15.424948470398375,17.76193489349139
Maleficent: Mistress of Evil,420809,pass,185000000,491570967,Family,133.862,2019,English Language,119,7.4,4768,en,19.0358663830426,20.01311687573477
Marriage Story,492188,fail,18000000,2300000,Drama,21.954,2019,English Language,137,7.8,5291,en,16.70588231586044,14.648419680899378
Men in Black: International,479455,pass,110000000,252608480,Comedy,86.524,2019,English Language,115,6,3674,en,18.51599092375669,19.3473513381802
Midsommar,530385,pass,9000000,47980982,Horror,40.006,2019,English Language,148,7.1,4288,en,16.012735135300492,17.68631528202757
Midway,522162,fail,100000000,125641396,War,37.3,2019,English Language,138,7.1,1708,en,18.420680743952367,18.6489423436841
Miss Bala,500852,pass,15000000,15200000,Action,18.03,2019,English Language,104,6.4,394,en,16.523560759066484,16.536805985816503
Missing Link,458253,fail,100000000,26249469,Family,42.954,2019,English Language,95,7,629,en,18.420680743952367,17.08315631822588
Motherless Brooklyn,504562,pass,26000000,18377736,Drama,15.961,2019,English Language,145,6.8,1011,en,17.073607095985757,16.72665048993816
The Personal History of David Copperfield,520900,pass,15600000,11620337,Drama,12.56,2019,English Language,119,6.5,311,en,16.562781472219765,16.268267310688667
Pet Sematary,8913,pass,11500000,57469467,Horror,33.336,1989,English Language,103,6.6,1567,en,16.25785759333348,17.866764356036878
Portrait of a Lady on Fire,531428,pass,5740000,9923127,Drama,14.022,2019,Foreign Language,120,8.3,1600,fr,15.56296976829575,16.110378651363305
Rambo: Last Blood,522938,fail,50000000,91490353,Action,60.358,2019,English Language,89,6.5,2856,en,17.72753356339242,18.33174409299345
Ready or Not,567609,pass,6000000,57615777,Horror,30.52,2019,English Language,95,7,2857,en,15.60727002719233,17.86930699441065
Richard Jewell,292011,pass,45000000,33904605,Drama,14.701,2019,English Language,131,7.5,1726,en,17.622173047734595,17.33906140383313
Scary Stories to Tell in the Dark,417384,pass,25000000,95438172,Horror,42.612,2019,English Language,108,6.5,1995,en,17.034386382832476,18.373989182175702
Seberg,510298,pass,8000000,592565,Thriller,11.313,2019,English Language,103,6,147,en,15.89495209964411,13.29221585061566
Serenity,16320,fail,39000000,38869464,SciFi,16.62,2005,English Language,119,7.4,2741,en,17.47907220409392,17.4757195131784
Shazam!,287947,pass,80000000,365971656,Action,88.523,2019,English Language,132,7.1,7065,en,18.197537192638155,19.718066445743855
Spies in Disguise,431693,pass,100000000,171616764,Animation,52.785,2019,English Language,102,7.7,2105,en,18.420680743952367,18.960774432554246
Terminator: Dark Fate,290859,pass,185000000,261119292,Action,66.18,2019,English Language,128,6.5,3799,en,19.0358663830426,19.38048791833928
Tolkien,468224,fail,20000000,8654322,War,13.027,2019,English Language,112,7,1008,en,16.811242831518264,15.973569407302168
Toy Story 4,301528,pass,175000000,1073394593,Family,142.024,2019,English Language,100,7.6,7518,en,18.980296531887788,20.79409198042955
Uncut Gems,473033,fail,19000000,50020902,Drama,32.998,2019,English Language,136,7.1,3307,en,16.759949537130716,17.727951516038043
Us,458723,pass,20000000,255105930,Thriller,28.808,2019,English Language,116,7,5449,en,16.811242831518264,19.357189428627827
Vivarium,458305,pass,4000000,427399,SciFi,23.233,2019,English Language,97,6,1152,en,15.201804919084164,12.965473282135855
What Men Want,487297,fail,20000000,69766483,Comedy,30.777,2019,English Language,117,6.2,1071,en,16.811242831518264,18.060664266159847
White Snake,573699,pass,11936735,61631776,Romance,89.839,2019,Foreign Language,99,7.8,245,zh,16.295131177948036,17.936688139657733
Wonder Park,400157,pass,100000000,119559110,Comedy,25.657,2019,English Language,86,6.4,521,en,18.420680743952367,18.599321451391113
Zombieland: Double Tap,338967,pass,42000000,122801777,Horror,61.643,2019,English Language,99,7,4145,en,17.553180176247643,18.626082044256655
A Simple Favor,484247,pass,20000000,97644617,Crime,23.647,2018,English Language,117,6.6,3363,en,16.811242831518264,18.39684508831947
A Star Is Born,332562,pass,36000000,433888866,Drama,52.503,2018,English Language,136,7.5,9839,en,17.399029496420383,19.888298990148957
A Wrinkle in Time,407451,pass,103000000,132675864,Adventure,23.809,2018,English Language,109,5.1,1536,en,18.45023954619391,18.70341959881079
Alpha,399360,fail,51000000,35808437,Adventure,32.933,2018,English Language,97,6.4,2058,en,17.7473361906886,17.393694093996086
American Animals,489931,fail,3000000,2847319,Drama,13.52,2018,English Language,117,6.8,687,en,14.914122846632385,14.861888407752874
Andhadhun,534780,fail,4500000,40000000,Crime,12.148,2018,Foreign Language,139,7.7,288,hi,15.319587954740548,17.50439001207821
Annihilation,300668,pass,40000000,43070915,SciFi,32.599,2018,English Language,115,6.4,6824,en,17.50439001207821,17.578358501290353
Ant-Man and the Wasp,363088,pass,140000000,622674139,Action,75.799,2018,English Language,119,7,10463,en,18.75715298057358,20.249533888548278
Aquaman,297802,pass,160000000,1148461807,Action,84.137,2018,English Language,143,6.9,11102,en,18.890684373198102,20.86168932486046
Assassination Nation,446101,pass,7000000,2900000,Thriller,17.972,2018,English Language,108,6.3,601,en,15.761420707019587,14.880221294956703
Avengers: Infinity War,299536,pass,300000000,2046239637,Adventure,413.261,2018,English Language,149,8.3,23179,en,19.519293032620475,21.439269622250723
Bad Times at the El Royale,446021,fail,32000000,31882724,Thriller,19.158,2018,English Language,141,6.8,2714,en,17.281246460764002,17.27757485365636
Black Panther,284054,pass,200000000,1346739107,Action,107.434,2018,English Language,134,7.4,18221,en,19.11382792451231,21.020952031131337
BlacKkKlansman,487558,pass,15000000,93400823,Crime,19.323,2018,English Language,135,7.6,6045,en,16.523560759066484,18.35241071472342
Blockers,437557,pass,21000000,94017294,Comedy,24.353,2018,English Language,102,6.3,1597,en,16.860032995687696,18.358989302035674
Book Club,502682,pass,10000000,78720293,Comedy,11.895,2018,English Language,104,6.3,623,en,16.11809565095832,18.18141153275419
Braven,459910,pass,5000000,823471,Drama,20.789,2018,English Language,94,6.2,771,en,15.424948470398375,13.621283612436338
Bumblebee,424783,pass,135000000,467989645,Action,84.506,2018,English Language,114,6.7,4686,en,18.720785336402702,19.96395672756876
Capernaum,517814,pass,4000000,64978931,Drama,19.137,2018,Foreign Language,126,8.2,1163,ar,15.201804919084164,17.989573636854146
Christopher Robin,420814,fail,75000000,99138899,Adventure,22.537,2018,English Language,104,7.3,2170,en,18.132998671500584,18.412032444987673
Crazy Rich Asians,455207,pass,30000000,238539198,Comedy,24.748,2018,English Language,121,7.1,2843,en,17.216707939626428,19.290044206989585
Creed II,480530,pass,50000000,214215889,Drama,63.418,2018,English Language,130,6.9,3966,en,17.72753356339242,19.182494891564847
The Darkest Minds,445651,pass,34000000,41142379,SciFi,37.652,2018,English Language,105,7,2171,en,17.341871082580436,17.5325492674496
Deadpool 2,383498,fail,110000000,786365638,Action,136.869,2018,English Language,119,7.5,13972,en,18.51599092375669,20.482932430522116
Early Man,387592,fail,50000000,53431158,Family,23.808,2018,English Language,89,6.1,619,en,17.72753356339242,17.793904616916386
Eighth Grade,489925,pass,2000000,13539709,Comedy,15.338,2018,English Language,94,7.2,1112,en,14.508657738524219,16.421137333341527
Fantastic Beasts: The Crimes of Grindelwald,338952,fail,200000000,653355901,Adventure,57.604,2018,English Language,134,6.9,8533,en,19.11382792451231,20.297632563271094
The Favourite,375262,pass,15000000,82124805,History,20.229,2018,English Language,119,7.6,4176,en,16.523560759066484,18.223750660337007
First Man,369972,pass,70000000,105702570,History,26.854,2018,English Language,141,7,4257,en,18.064005800013632,18.47613976464138
Game Night,445571,pass,37000000,117501013,Mystery,21.179,2018,English Language,100,6.8,4593,en,17.4264284706085,18.58195751278792
The Girl in the Spider's Web,446807,pass,43000000,35164920,Action,18.209,2018,English Language,115,6.1,1029,en,17.576710673657836,17.375559552732334
Green Book,490132,fail,23000000,319700000,Drama,27.611,2018,English Language,130,8.3,8441,en,16.951004773893423,19.58289361403007
The Grinch,360920,pass,75000000,508575295,Animation,196.465,2018,English Language,85,6.8,2715,en,18.132998671500584,20.04712383525423
The Happytime Murders,412988,pass,40000000,27506452,Action,15.423,2018,English Language,91,5.7,759,en,17.50439001207821,17.129931153300078
The Hate U Give,470044,pass,23000000,34934009,Crime,25.951,2018,English Language,133,8.3,1661,en,16.951004773893423,17.368971382599113
Hereditary,493922,pass,10000000,80239658,Horror,44.858,2018,English Language,127,7.2,5397,en,16.11809565095832,18.200528439395512
The House That Jack Built,398173,fail,9800000,5566776,Drama,19.678,2018,English Language,151,7.2,1885,en,16.0978929436408,15.53232662924456
The House with a Clock in Its Walls,463821,fail,42000000,131457147,Fantasy,21.418,2018,English Language,105,6.3,1695,en,17.553180176247643,18.694191478145218
I Feel Pretty,460668,pass,32000000,94539426,Comedy,21.823,2018,English Language,111,6.4,1756,en,17.281246460764002,18.36452751180681
If Beale Street Could Talk,465914,pass,12000000,20572691,Romance,12.249,2018,English Language,120,7,877,en,16.300417207752275,16.839475074657575
Incredibles 2,260513,pass,200000000,1242805359,Action,106.282,2018,English Language,118,7.5,10447,en,19.11382792451231,20.940637047511206
Instant Family,491418,pass,48000000,14700000,Comedy,30.798,2018,English Language,118,7.6,2136,en,17.686711568872166,16.503358051748965
Isle of Dogs,399174,pass,62770198,64241499,Adventure,20.619,2018,English Language,101,7.9,3644,en,17.954990964661846,17.978159961701646
Johnny English Strikes Again,463272,fail,25000000,158256993,Action,22.73,2018,English Language,89,6.3,1882,en,17.034386382832476,18.879730807585688
Jurassic World: Fallen Kingdom,351286,pass,170000000,1303459585,Action,103.427,2018,English Language,129,6.6,9360,en,18.951308995014536,20.98828778587059
Life of the Party,399796,pass,30000000,61700416,Comedy,19.106,2018,English Language,105,6.2,827,en,17.216707939626428,17.937801231154346
"Love, Simon",449176,fail,17000000,66316289,Comedy,31.449,2018,English Language,110,8.1,5168,en,16.64872390202049,18.00994611125467
Mamma Mia! Here We Go Again,458423,pass,75000000,395044706,Comedy,23.233,2018,English Language,113,7.2,2745,en,18.132998671500584,19.794509496207887
Mandy,460885,fail,6000000,1214525,Horror,17.752,2018,English Language,122,6.2,1352,en,15.60727002719233,14.009863611815222
Mary Poppins Returns,400650,pass,130000000,348807090,Fantasy,29.721,2018,English Language,131,6.5,2708,en,18.683045008419857,19.670029576627375
Mary Queen of Scots,457136,pass,25000000,37807625,Drama,14.492,2018,English Language,124,6.6,1407,en,17.034386382832476,17.448021359823876
Maze Runner: The Death Cure,336843,pass,62000000,288175335,SciFi,87.451,2018,English Language,143,7.1,6096,en,17.942644943009366,19.479079654938747
The Meg,345940,pass,150000000,530243742,Action,85.614,2018,English Language,113,6.2,5561,en,18.82614585206053,20.088847349359224
The Miseducation of Cameron Post,426613,pass,900000,2019874,Drama,23.695,2018,English Language,92,6.9,742,en,13.710150042306449,14.518545691194285
Mortal Engines,428078,pass,100000000,83672673,Adventure,40.355,2018,English Language,129,6.2,3591,en,18.420680743952367,18.242422994695875
The Mule,504172,fail,50000000,174804407,Crime,29.478,2018,English Language,116,6.8,3845,en,17.72753356339242,18.97917823253838
The Nutcracker and the Four Realms,426543,pass,120000000,59522646,Fantasy,32.36,2018,English Language,99,6.1,1769,en,18.60300230074632,17.90186740314615
On the Basis of Sex,339380,pass,20000000,38673750,Drama,23.726,2018,English Language,120,7.4,777,en,16.811242831518264,17.470671633280524
Ophelia,428836,pass,12000000,242115,Romance,16.267,2019,English Language,114,7.4,353,en,16.300417207752275,12.39716809887549
Overboard,454619,pass,12000000,91244913,Romance,42.23,2018,English Language,112,6.6,1093,en,16.300417207752275,18.329057800927696
Pacific Rim: Uprising,268896,pass,150000000,290061297,Action,81.157,2018,English Language,111,6.1,3804,en,18.82614585206053,19.48560282757504
The Predator,346910,fail,88000000,160542134,SciFi,72.989,2018,English Language,107,5.6,3561,en,18.29284737244248,18.894066983216707
Ralph Breaks the Internet,404368,pass,175000000,529221154,Family,102.73,2018,English Language,112,7.2,5902,en,18.980296531887788,20.08691696295113
Rampage,427641,pass,120000000,426245950,Action,88.865,2018,English Language,107,6.5,5604,en,18.60300230074632,19.870527085050586
Ready Player One,333339,pass,175000000,582890172,SciFi,108.085,2018,English Language,140,7.6,12216,en,18.980296531887788,20.183509342348678
Red Sparrow,401981,pass,69000000,151572634,Mystery,35.382,2018,English Language,140,6.5,4968,en,18.049617062561534,18.836575500365967
Robin Hood,20662,fail,200000000,321669741,Adventure,68.676,2010,English Language,140,6.4,3650,en,19.11382792451231,19.58903592810243
Roma,426426,pass,15000000,1140769,Drama,21.394,2018,Foreign Language,135,7.7,3255,es,16.523560759066484,13.947213154359908
Searching,489999,fail,1000000,66265218,Thriller,30.419,2018,English Language,102,7.6,2924,en,13.815510557964274,18.009175702112678
Second Act,503616,fail,16000000,72282227,Romance,18.991,2018,English Language,100,6.4,967,en,16.588099280204055,18.096088833949686
The Sisters Brothers,440161,fail,38000000,13143056,Western,15.144,2018,English Language,122,6.8,1494,en,17.45309671769066,16.39140411627832
Slender Man,439015,pass,10000000,11817275,Horror,30.584,2018,English Language,93,4.4,1544,en,16.11809565095832,16.285073001908298
Solo: A Star Wars Story,348350,fail,250000000,392952373,SciFi,36.261,2018,English Language,135,6.6,6659,en,19.33697147582652,19.789198974194477
The Spy Who Dumped Me,454992,pass,40000000,33562069,Action,19.962,2018,English Language,117,6.4,1821,en,17.50439001207821,17.32890708843768
Suspiria,361292,pass,20000000,6348889,Horror,24.243,2018,English Language,152,6.9,1860,en,16.811242831518264,15.663790394931556
Tag,455980,pass,28000000,75100000,Comedy,22.049,2018,English Language,100,6.7,2371,en,17.14771506813948,18.134331116734362
Teen Titans Go! To the Movies,474395,pass,10000000,28646544,Animation,44.511,2018,English Language,85,7.4,892,en,16.11809565095832,17.170543365576595
Tomb Raider,338970,pass,94000000,274650803,Action,42.598,2018,English Language,118,6.4,6412,en,18.358805340234277,19.43101104146973
Truth or Dare,460019,pass,3500000,95330493,Thriller,33.367,2018,English Language,100,6,3325,en,15.068273526459642,18.37286028596588
Upgrade,500664,fail,5000000,16593554,Action,21.992,2018,English Language,100,7.5,3096,en,15.424948470398375,16.624524864660646
